Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Tax_Burden,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Continent,Investment_Freedom,Financial_Freedom,Legislation_Violence,Government_Spending,Name
74,84.1,68.2,55.4,85.6,82.4,83.9,74.4,78.6,82,Asia,60,50,1,83.2,Malaysia 
53.2,43.9,36.4,33.5,95.8,10.7,78.3,70.8,81,62.6,Asia,35,30,1,60.8,Maldives
58.1,33.7,33.4,29.6,68.7,84.2,53.8,52.2,81.6,69.8,Africa,65,40,0,85.4,Mali
68.6,69.8,50.4,50.3,64.2,94.5,67.1,61.3,78.2,86,Europe,85,60,1,56.1,Malta
55.7,27.5,30.6,30.6,78,80.6,61.9,51.5,81.2,62.6,Africa,50,40,0,74.2,Mauritania
73,69.5,62.1,40.3,92.1,73.6,79.8,60.8,79.4,88.4,Africa,80,70,1,80.3,Mauritius
64.7,59.1,34.9,26.3,75.8,83.2,67.8,58.6,75.9,81.4,Central America,75,60,1,78.2,Mexico
51.9,7.6,26.6,36.6,92.8,98.8,57.4,71.9,85.8,80.6,Oceania,35,30,0,0,Micronesia
59.1,55.2,29.6,25.4,85.4,92,67,39,73.5,78,Europe,55,50,1,59.1,Moldova
55.4,48.2,23.8,29.8,88.5,6.2,66,75,77.8,75.8,Asia,50,60,1,63.1,Mongolia
60.5,55.4,51.8,39.5,85.3,23.2,73.3,73.4,81.6,84.7,Europe,75,50,1,32.6,Montenegro
62.9,57.2,47.1,39.2,72.2,66.9,70.3,33.1,83.5,77.4,Africa,65,70,0,72.7,Morocco
48.6,33.9,35.2,28.1,75.5,16.6,57.1,42,65.4,78,Africa,35,50,1,66.9,Mozambique 
58.7,55.9,54.7,49.8,66.5,15.7,65.8,85.1,74.4,83,Africa,65,40,1,48.9,Namibia
53.8,39.2,34.7,26.2,84,98.5,61.8,47.9,69.4,60.4,Asia,10,30,1,83.7,Nepal
76.8,88,74.7,89.1,51.6,93.3,81.4,60.3,84,86,Europe,90,80,1,42.9,Netherlands
84.4,95,83.5,96.7,71,98.6,91,86.7,87.5,92.4,Oceania,80,80,1,50.4,New Zealand
57.7,33.4,18.7,20.3,76.9,93.9,56,55.8,72.7,76,Central America,60,50,1,79.1,Nicaragua 
51.6,37.2,31,34.1,76.9,22.2,56.3,48.2,76.7,65.8,Africa,55,40,0,75.6,Niger
57.3,36.5,34.3,20.5,85,68.2,51.2,83.3,65,62.4,Africa,45,40,1,96.5,Nigeria
71.1,65.1,60.7,44.7,91.8,82.9,80.2,71.5,78.7,82,Europe,65,60,1,70,North Macedonia
73,86.1,81.2,92.3,57.4,97.3,89.4,53.7,75.4,83.2,Europe,75,60,1,25.3,Norway
61,58.1,51.6,53.8,97.8,16.1,75.2,57.3,77.7,87,Middle East,65,60,0,32.5,Oman
55,41.5,40.2,30.6,80.5,49.2,56.1,41.8,72.6,64.8,Asia,55,40,1,87.6,Pakistan 
67.2,60.4,30.1,34.1,85,91.3,73.6,43.4,79.4,79.2,Central America,75,70,1,85.3,Panama 
58.4,37.4,49,37.2,71.8,75.2,62.2,72.6,70,80.9,Oceania,25,30,1,89.1,Papua New Guinea
61.8,39.5,30,25.5,96.3,96.3,61.5,29.2,72.8,76.6,South America,75,60,1,78.9,Paraguay 
67.8,56.1,34,31.8,80.6,88.5,67.8,63.5,83.9,86.4,South America,75,60,1,86.1,Peru
63.8,48.7,36.4,30.9,76.9,97.1,61.3,57.9,69.6,78.2,Asia,60,60,1,88.7,Philippines
67.8,62.3,44,49.8,74.9,86.4,65.4,63.9,82.1,86,Europe,80,70,1,48.8,Poland
65.3,71.5,64.3,59.5,59.9,69.8,79.7,44.3,83,86,Europe,70,60,1,35.6,Portugal
72.6,64.5,60,77.4,99.7,94,71.2,65.9,78.4,83.2,Middle East,60,60,0,56.8,Qatar
